NCBI_ID	Parent_NCBI_ID	Organism_Name	Level	Lineage
137591	46255	Weissella cibaria	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Leuconostocaceae: 81850;Weissella: 46255;
1385	91061	Bacillales	order	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;
1386	186817	Bacillus	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Bacillales: 1385;Bacillaceae: 186817;
1396	86661	Bacillus cereus	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Bacillales: 1385;Bacillaceae: 186817;Bacillus: 1386;Bacillus cereus group: 86661;
1398	1386	Bacillus coagulans	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Bacillales: 1385;Bacillaceae: 186817;Bacillus: 1386;
1402	653685	Bacillus licheniformis	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Bacillales: 1385;Bacillaceae: 186817;Bacillus: 1386;Bacillus subtilis group: 653685;
1406	44249	Paenibacillus polymyxa	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Bacillales: 1385;Paenibacillaceae: 186822;Paenibacillus: 44249;
1432051	186803	Eisenbergiella	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Lachnospiraceae: 186803;
147207	102106	Collinsella intestinalis	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Actinobacteria: 201174;Coriobacteriia: 84998;Coriobacteriales: 84999;Coriobacteriaceae: 84107;Collinsella: 102106;
1472649	128827	Dielma	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Erysipelotrichia: 526524;Erysipelotrichales: 526525;Erysipelotrichaceae: 128827;
1481960	186804	Peptoclostridium	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Peptostreptococcaceae: 186804;
1485	31979	Clostridium	genus	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Clostridiaceae: 31979;
1492	1485	Clostridium butyricum	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Clostridiaceae: 31979;Clostridium: 1485;
150055	1301	Streptococcus lutetiensis	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Bacilli: 91061;Lactobacillales: 186826;Streptococcaceae: 1300;Streptococcus: 1301;
1502	1485	Clostridium perfringens	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Clostridiaceae: 31979;Clostridium: 1485;
1505	1849828	Paeniclostridium sordellii	species	cellular organisms: 131567;Bacteria: 2;Terrabacteria group: 1783272;Firmicutes: 1239;Clostridia: 186801;Clostridiales: 186802;Peptostreptococcaceae: 186804;Paeniclostridium: 1849828;
